model,dataset,max_trees,no_trees,depth,alpha,train_loss,test_accuracy,nodes
lgbm_quant,kin8nm,64,64,1,0.0,0.042820768916025084,0.04468740416496087,192
lgbm_quant,california_housing,128,128,1,0.0,0.43717763841509055,0.4624815782455936,384
lgbm_base,mushroom,256,256,2,0.0,1.0,1.0,1782
lgbm_base,california_housing,32,32,8,0.0,0.24041975735539736,0.27918568398609844,1952
lgbm_base,california_housing,8,8,2,0.0,0.8008610904245628,0.8244596077075775,56
lgbm_quant,mushroom,256,256,2,0.0,1.0,1.0,1782
lgbm_base,california_housing,16,16,4,0.0,0.44873408408337834,0.4767256716279527,492
lgbm_quant,california_housing,32,32,8,0.0,0.24413785884921535,0.2806831417708318,1952
lgbm_quant,california_housing,8,8,2,0.0,0.24413785884921535,0.2806831417708318,56
lgbm_quant,california_housing,16,16,4,0.0,0.4497133302134679,0.47685547104771775,492
lgbm_base,california_housing,256,256,2,0.0,0.2596375583547956,0.2880052637986767,1792
lgbm_base,mushroom,512,512,4,0.0,1.0,1.0,6232
lgbm_quant,california_housing,256,256,2,0.0,24.768137582760392,24.562693103634963,1792
lgbm_quant,mushroom,512,512,4,0.0,1.0,1.0,6232
lgbm_base,mushroom,1024,1024,8,0.0,1.0,1.0,10156
lgbm_base,california_housing,512,512,4,0.0,0.1344886721455036,0.20890052379137647,14130
lgbm_quant,mushroom,1024,1024,8,0.0,1.0,1.0,10156
lgbm_quant,covtype,256,256,8,0.0,0.5197446693157834,0.521337659096581,15616
lgbm_quant,california_housing,512,512,4,0.0,4.1103573828366375,4.217777298543887,14130
lgbm_base,california_housing,1024,1024,8,0.0,0.034020387238859924,0.19814559581988728,62358
lgbm_base,covtype,128,128,2,0.0,0.7720784236105583,0.7687667271929296,896
lgbm_quant,california_housing,1024,1024,8,0.0,1339.7594898162906,1357.4778123096628,62358
lgbm_base,breastcancer,16,16,2,0.0,0.978021978021978,0.9385964912280702,112
lgbm_quant,breastcancer,16,16,2,0.0,0.978021978021978,0.9385964912280702,112
lgbm_base,covtype,1024,1024,1,0.0,0.7733456107777603,0.7704534306343209,3072
lgbm_base,breastcancer,64,64,8,0.0,1.0,0.9649122807017544,2328
lgbm_quant,breastcancer,64,64,8,0.0,1.0,0.9649122807017544,2328
lgbm_base,breastcancer,1,1,4,0.0,0.6329670329670329,0.6052631578947368,15
lgbm_quant,breastcancer,1,1,4,0.0,0.6329670329670329,0.6052631578947368,15
lgbm_base,breastcancer,32,32,4,0.0,0.9956043956043956,0.9473684210526315,546
lgbm_quant,breastcancer,32,32,4,0.0,0.9956043956043956,0.9473684210526315,546
lgbm_quant,covtype,128,128,2,0.0,0.7720633636612028,0.7687323046737176,896
lgbm_base,kin8nm,128,128,2,0.0,0.03170068655921446,0.03540522260687625,880
lgbm_quant,kin8nm,128,128,2,0.0,10.167494971590326,10.063591495133107,880
lgbm_base,covtype,256,256,4,0.0,0.820679031602228,0.816192353037357,7638
lgbm_base,kin8nm,2,2,8,0.0,0.057897795689707085,0.060778008087793114,122
lgbm_quant,kin8nm,2,2,8,0.0,0.05790477706019241,0.06078073505966575,122
lgbm_base,california_housing,2,2,8,0.0,1.0238419425042717,1.043257516230987,122
lgbm_quant,california_housing,2,2,8,0.0,1.0245535549449059,1.0439208926212538,122
lgbm_base,kin8nm,1,1,4,0.0,0.06405669890315037,0.0662947628810444,31
lgbm_quant,kin8nm,1,1,4,0.0,0.06406610848441827,0.06630289980646269,31
lgbm_base,kin8nm,8,8,1,0.0,0.055316601797319065,0.05676939445185325,24
lgbm_quant,kin8nm,8,8,1,0.0,0.05531475054435123,0.05676679804827391,24
lgbm_base,kin8nm,16,16,2,0.0,0.045673247011582055,0.047840547621754326,112
