model,dataset,max_trees,no_trees,depth,alpha,train_loss,test_accuracy,nodes
cegb,covtype,128,17,4,0.0078125,0.768152079671435,0.7660731650645852,449
cegb,kr-vs-kp,256,26,4,0.0078125,0.9432707355242567,0.93125,284
cegb,covtype,256,1,1,0.5,0.5120554894591112,0.513781916129532,1
cegb,kr-vs-kp,512,3,8,0.125,0.9432707355242567,0.93125,29
cegb,kr-vs-kp,1024,3,8,0.125,0.9432707355242567,0.93125,29
cegb,breastcancer,4,4,4,0.0,0.9164835164835164,0.9035087719298246,66
cegb,kr-vs-kp,512,14,4,0.03125,0.9432707355242567,0.93125,134
cegb,kr-vs-kp,1024,3,4,0.125,0.9432707355242567,0.93125,29
cegb,kr-vs-kp,1024,26,8,0.0078125,0.9769170579029735,0.9578125,784
cegb,kr-vs-kp,1024,1,2,0.5,0.5199530516431925,0.53125,1
cegb,breastcancer,512,51,1,0.015625,0.9736263736263736,0.956140350877193,153
cegb,kr-vs-kp,1024,14,8,0.03125,0.9675273865414711,0.9484375,270
cegb,breastcancer,4,4,8,0.25,0.8857142857142857,0.9035087719298246,12
cegb,kr-vs-kp,1024,1,8,0.5,0.5199530516431925,0.53125,1
cegb,covtype_multi,64,7,2,0.5,0.48794451054088883,0.48621808387046805,7
cegb,covtype_multi,4,7,1,0.5,0.48794451054088883,0.48621808387046805,7
cegb,covtype_multi,4,28,8,0.015625,0.7148506160594997,0.7125461476898187,1082
cegb,covtype_multi,4,28,4,0.0625,0.6381115684076685,0.637401788249873,154
cegb,covtype_multi,64,70,8,0.03125,0.6854966233442124,0.6834763302152268,462
cegb,covtype_multi,1,7,1,0.015625,0.48794451054088883,0.48621808387046805,21
cegb,covtype_multi,4,21,2,0.125,0.48794451054088883,0.48621808387046805,49
cegb,covtype_multi,2,14,1,0.0625,0.6307730702288467,0.6304226224796262,36
cegb,covtype_multi,1,7,8,0.25,0.48794451054088883,0.48621808387046805,13
cegb,covtype_multi,1,7,4,0.0,0.5072965454627599,0.5065187645757855,215
cegb,covtype_multi,8,7,4,0.25,0.48794451054088883,0.48621808387046805,13
cegb,covtype_multi,8,56,2,0.0,0.6776697525220037,0.6764025025171467,392
cegb,covtype_multi,2,14,2,0.015625,0.5876757980159593,0.5869986144936017,90
cegb,covtype_multi,2,14,8,0.0,0.6606068299021749,0.659001919055446,854
cegb,covtype,2,1,4,0.5,0.5120554894591112,0.513781916129532,1
cegb,covtype_multi,8,42,8,0.0625,0.6570161076915464,0.6559813429945871,322
cegb,covtype_multi,32,42,2,0.0625,0.6379093348020369,0.6372813094326308,120
cegb,covtype,1,1,2,0.5,0.5120554894591112,0.513781916129532,1
cegb,covtype_multi,32,7,1,0.25,0.48794451054088883,0.48621808387046805,9
cegb,covtype,1,1,4,0.125,0.7283615420527572,0.7261344371487828,5
cegb,covtype,2,1,8,0.125,0.7283615420527572,0.7261344371487828,5
cegb,covtype,4,4,2,0.0078125,0.7307151969948946,0.7287075204598848,28
cegb,covtype,4,1,8,0.5,0.5120554894591112,0.513781916129532,1
cegb,covtype,2,2,1,0.0078125,0.6684724263084407,0.6673924081133877,6
cegb,covtype,4,4,1,0.03125,0.6684724263084407,0.6673924081133877,12
cegb,covtype,8,1,1,0.125,0.6661187713663032,0.6648193248022857,3
cegb,covtype,16,1,1,0.5,0.5120554894591112,0.513781916129532,1
cegb,covtype,1,1,8,0.03125,0.7525542749817667,0.7504711582317152,61
cegb,covtype,16,1,2,0.125,0.7283615420527572,0.7261344371487828,5
cegb,covtype,32,1,4,0.125,0.7283615420527572,0.7261344371487828,5
cegb,covtype,32,1,2,0.5,0.5120554894591112,0.513781916129532,1
cegb,covtype,32,9,8,0.03125,0.7362916810991181,0.7342323347934219,155
cegb,covtype,8,8,2,0.03125,0.731750030657754,0.7294992384017625,46
cegb,covtype,8,8,4,0.0078125,0.7576746577626509,0.755402184108844,232
cegb,covtype,16,9,4,0.03125,0.7376707421758184,0.735815770677177,105
cegb,covtype,256,1,2,0.125,0.7283615420527572,0.7261344371487828,5
cegb,covtype,16,16,8,0.0078125,0.7848643206134133,0.7831811571129833,976
cegb,covtype,64,1,4,0.5,0.5120554894591112,0.513781916129532,1
cegb,breastcancer,512,25,2,0.03125,0.978021978021978,0.956140350877193,143
cegb,covtype,256,9,4,0.03125,0.7376707421758184,0.735815770677177,105
