model,dataset,max_trees,no_trees,depth,alpha,train_loss,test_accuracy,val_acc,nodes,meankfold
ccp,kr-vs-kp,32,32,4,0.0625,1.3847633119176872,0.0,0.5328125,32,0.519554947407045
cegb,kr-vs-kp,64,64,2,0.0,0.9420970266040689,0.0,0.9359375,446,0.9420965325342466
cegb,breastcancer,64,64,2,0.0,0.9978021978021978,0.0,0.9385964912280702,448,0.9692307692307691
cegb,kr-vs-kp,1024,19,8,0.015625,0.9683098591549296,0.0,0.965625,535,0.9616530088062621
ccp,kr-vs-kp,1,1,8,0.015625,1.2344162124811995,0.0,0.9359375,9,0.9420965325342466
ccp,kr-vs-kp,32,32,8,0.015625,0.7754998676033703,0.0,0.9359375,80,0.9420965325342466
cegb,breastcancer,128,7,8,0.25,0.9428571428571428,0.0,0.8947368421052632,21,0.9208791208791208
cegb,breastcancer,128,48,1,0.015625,0.9736263736263736,0.0,0.9298245614035088,144,0.9626373626373625
ccp,kr-vs-kp,4,4,8,0.25,1.3847633119176872,0.0,0.5328125,4,0.519554947407045
cegb,breastcancer,256,21,1,0.0625,0.9494505494505494,0.0,0.8947368421052632,63,0.9318681318681318
cegb,breastcancer,1024,20,8,0.0625,0.9604395604395605,0.0,0.9035087719298246,92,0.945054945054945
cegb,breastcancer,1024,20,4,0.0625,0.9604395604395605,0.0,0.9035087719298246,92,0.945054945054945
ccp,kr-vs-kp,16,16,4,0.015625,0.7754998759228089,0.0,0.9359375,64,0.9420965325342466
cegb,kr-vs-kp,1024,8,4,0.0625,0.9420970266040689,0.0,0.9359375,80,0.9420965325342466
ccp,kr-vs-kp,256,256,1,0.0625,1.3847633119176872,0.0,0.5328125,256,0.519554947407045
