model,dataset,max_trees,no_trees,depth,alpha,train_loss,test_accuracy,val_acc,nodes,mean
ccp,breastcancer,512,512,1,0.5,1.3304705119849312,0.0,0.6666666666666666,512,0.6175824175824176
ccp,breastcancer,256,256,2,0.03125,0.6252598768928912,0.0,0.9210526315789472,276,0.9164835164835164
ccp,kr-vs-kp,1024,1024,2,0.5,1.383461917825569,0.0,0.5046875,1024,0.5266060726516634
ccp,breastcancer,256,256,4,0.0078125,0.3748487628537001,0.0,0.9649122807017544,316,0.9362637362637362
ccp,kr-vs-kp,512,512,4,0.03125,1.06003171395757,0.0,0.903125,530,0.9045369068003914
ccp,breastcancer,512,512,2,0.125,1.093863965806927,0.0,0.6666666666666666,516,0.6175824175824176
ccp,kr-vs-kp,512,512,8,0.0078125,0.6221485710281177,0.0,0.9484375,590,0.93896771037182
ccp,kr-vs-kp,512,512,8,0.125,1.383461917825569,0.0,0.5046875,512,0.5266060726516634
ccp,kr-vs-kp,1024,1024,4,0.125,1.383461917825569,0.0,0.5046875,1024,0.5266060726516634
ccp,breastcancer,512,512,4,0.03125,0.6252598768928915,0.0,0.9210526315789472,532,0.9164835164835164
ccp,breastcancer,1024,1024,2,0.5,1.3304705119849312,0.0,0.6666666666666666,1024,0.6175824175824176
ccp,breastcancer,512,512,8,0.125,1.093863965806927,0.0,0.6666666666666666,516,0.6175824175824176
ccp,kr-vs-kp,1024,1024,8,0.0078125,0.6221485710281177,0.0,0.9484375,1102,0.93896771037182
ccp,kr-vs-kp,1024,1024,8,0.5,1.383461917825569,0.0,0.5046875,1024,0.5266060726516634
ccp,kr-vs-kp,1024,1024,8,0.125,1.383461917825569,0.0,0.5046875,1024,0.5266060726516634
ccp,kr-vs-kp,1024,1024,8,0.03125,1.06003171395757,0.0,0.903125,1042,0.9045369068003914
ccp,breastcancer,512,512,8,0.0078125,0.374391614506823,0.0,0.9649122807017544,572,0.9362637362637362
ccp,breastcancer,1024,1024,4,0.125,1.093863965806927,0.0,0.6666666666666666,1028,0.6175824175824176
ccp,breastcancer,1024,1024,8,0.5,1.3304705119849312,0.0,0.6666666666666666,1024,0.6175824175824176
ccp,breastcancer,1024,1024,8,0.125,1.093863965806927,0.0,0.6666666666666666,1028,0.6175824175824176
ccp,breastcancer,1024,1024,8,0.03125,0.6252598768928918,0.0,0.9210526315789472,1044,0.9164835164835164
ccp,breastcancer,1024,1024,8,0.0078125,0.3748487628537001,0.0,0.9649122807017544,1084,0.9362637362637362
ccp,kr-vs-kp,2,2,4,0.25,1.3834619178255694,0.0,0.5046875,2,0.5266060726516634
cegb,breastcancer,4,4,8,0.25,0.8901098901098901,0.0,0.9035087719298246,12,0.8967032967032967
cegb,breastcancer,64,19,8,0.0625,0.956043956043956,0.0,0.9649122807017544,91,0.9362637362637364
cegb,breastcancer,64,7,4,0.25,0.931868131868132,0.0,0.9473684210526316,21,0.9076923076923076
