model,dataset,max_trees,no_trees,depth,alpha,train_loss,test_accuracy,val_acc,nodes,meankfold
cegb,breastcancer,2,2,4,0.25,0.6197802197802198,0.0,0.6578947368421053,6,0.6703296703296704
cegb,kr-vs-kp,64,8,8,0.0625,0.940923317683881,0.0,0.940625,96,0.9409246575342464
cegb,kr-vs-kp,256,33,2,0.015625,0.940923317683881,0.0,0.940625,201,0.9409246575342464
cegb,breastcancer,32,30,8,0.015625,0.9846153846153848,0.0,0.9736842105263158,266,0.9494505494505494
cegb,breastcancer,8,8,2,0.015625,0.9582417582417584,0.0,0.9473684210526316,52,0.9186813186813186
cegb,breastcancer,32,7,2,0.25,0.9362637362637364,0.0,0.9298245614035088,21,0.912087912087912
lgbm_base,kr-vs-kp,1,1,1,0.0,0.5273865414710485,0.0,0.5015625,3,0.5273919092465752
lgbm_quant,kr-vs-kp,1,1,1,0.0,0.5273865414710485,0.0,0.5015625,3,0.5273919092465752
cegb,breastcancer,16,16,2,0.0625,0.9626373626373628,0.0,0.9473684210526316,76,0.9274725274725274
cegb,kr-vs-kp,16,10,2,0.0625,0.9033646322378716,0.0,0.9078125,56,0.9033657962328766
ccp,kr-vs-kp,2,2,8,0.0625,1.3832927686112306,0.0,0.5015625,2,0.5273919092465753
ccp,kr-vs-kp,16,16,2,0.0625,1.3832927686112306,0.0,0.5015625,16,0.5273919092465753
cegb,breastcancer,32,32,1,0.0,0.967032967032967,0.0,0.9473684210526316,96,0.9428571428571428
cegb,breastcancer,4,4,4,0.0,0.9516483516483516,0.0,0.9298245614035088,60,0.9032967032967032
cegb,breastcancer,32,19,4,0.0625,0.9604395604395604,0.0,0.9473684210526316,89,0.9252747252747252
cegb,breastcancer,16,16,4,0.015625,0.978021978021978,0.0,0.9736842105263158,150,0.9384615384615383
ccp,kr-vs-kp,16,16,1,0.25,1.3832927686112306,0.0,0.5015625,16,0.5273919092465753
cegb,kr-vs-kp,32,1,2,0.25,0.5273865414710485,0.0,0.5015625,1,0.5273919092465753
cegb,breastcancer,16,7,1,0.25,0.9362637362637364,0.0,0.9298245614035088,21,0.912087912087912
cegb,kr-vs-kp,4,1,8,0.25,0.5273865414710485,0.0,0.5015625,1,0.5273919092465753
cegb,kr-vs-kp,512,1,1,0.25,0.5273865414710485,0.0,0.5015625,1,0.5273919092465753
cegb,kr-vs-kp,1,1,2,0.25,0.5273865414710485,0.0,0.5015625,1,0.5273919092465753
lgbm_base,breastcancer,1024,1024,1,0.0,1.0,0.0,0.9473684210526316,3072,0.9714285714285716
lgbm_quant,breastcancer,1024,1024,1,0.0,1.0,0.0,0.9473684210526316,3072,0.9714285714285716
lgbm_base,kr-vs-kp,4,4,4,0.0,0.940923317683881,0.0,0.940625,68,0.9409246575342464
lgbm_quant,kr-vs-kp,4,4,4,0.0,0.940923317683881,0.0,0.940625,68,0.9409246575342464
cegb,breastcancer,1024,1024,1,0.0,1.0,0.0,0.956140350877193,3072,0.9714285714285716
ccp,kr-vs-kp,32,32,1,0.0,0.8434130291984334,0.0,0.9078125,96,0.914716089774951
cegb,kr-vs-kp,8,8,1,0.0625,0.9033646322378716,0.0,0.9078125,24,0.9033657962328766
lgbm_base,kr-vs-kp,2,2,2,0.0,0.9033646322378716,0.0,0.9078125,12,0.9033657962328768
lgbm_quant,kr-vs-kp,2,2,2,0.0,0.9033646322378716,0.0,0.9078125,12,0.9033657962328768
ccp,kr-vs-kp,1,1,4,0.0625,1.3832927686112306,0.0,0.5015625,1,0.5273919092465753
cegb,kr-vs-kp,128,128,4,0.0,0.986697965571205,0.0,0.978125,2792,0.9792662977005872
cegb,kr-vs-kp,16,16,4,0.015625,0.940923317683881,0.0,0.940625,182,0.9409246575342464
cegb,kr-vs-kp,1,1,4,0.0625,0.940923317683881,0.0,0.940625,11,0.9409246575342464
cegb,kr-vs-kp,4,4,1,0.015625,0.9033646322378716,0.0,0.9078125,12,0.8404186032289628
cegb,breastcancer,4,4,1,0.015625,0.8967032967032967,0.0,0.868421052631579,12,0.8989010989010989
ccp,kr-vs-kp,4,4,1,0.015625,1.2578124024851454,0.0,0.9078125,12,0.8744029782289628
cegb,breastcancer,8,8,1,0.0625,0.9428571428571428,0.0,0.9298245614035088,24,0.912087912087912
ccp,kr-vs-kp,4,4,4,0.0,0.9203307953851032,0.0,0.940625,74,0.9409246575342464
ccp,kr-vs-kp,8,8,2,0.015625,0.9068713347057514,0.0,0.9078125,46,0.9033657962328766
