model,dataset,max_trees,no_trees,depth,alpha,train_loss,test_accuracy,val_acc,nodes
lgbm_quant,kin8nm,4,4,1,0.0,0.05951442017350596,0.05962071116588538,0.0632278615971067,12
lgbm_base,california_housing,1,1,8,0.0,1.164637026778868,1.130688888276529,1.1984627577727027,61
lgbm_base,california_housing,16,16,4,0.0,0.447235504169784,0.45987209270788965,0.46842417902495787,492
lgbm_quant,california_housing,1,1,8,0.0,1.1645769952086154,1.130982507981809,1.1982596272433435,61
lgbm_quant,california_housing,16,16,4,0.0,0.44789258341250565,0.46035676732837966,0.4686958055952403,492
lgbm_base,mushroom,16,16,4,0.0,0.9870063258676697,0.9830769230769231,0.9870769230769231,408
lgbm_quant,mushroom,16,16,4,0.0,0.9870063258676697,0.9830769230769231,0.9870769230769231,408
lgbm_quant,mushroom,512,512,4,0.0,1.0,1.0,1.0,6350
lgbm_base,mushroom,1024,1024,8,0.0,1.0,1.0,1.0,9758
lgbm_base,california_housing,256,256,2,0.0,0.25914024969429267,0.2815525216634442,0.2893479430388785,1792
lgbm_base,mushroom,256,256,2,0.0,1.0,1.0,1.0,1788
lgbm_base,california_housing,32,32,8,0.0,0.24025075633936874,0.2798117799631899,0.2825314590789609,1952
lgbm_quant,mushroom,256,256,2,0.0,1.0,1.0,1.0,1788
lgbm_quant,california_housing,32,32,8,0.0,0.5432180146855898,0.6690215955769905,0.5307639239134816,1952
lgbm_quant,california_housing,256,256,2,0.0,31.908224485841803,32.48406595416385,31.654387427426112,1792
lgbm_quant,mushroom,1024,1024,8,0.0,1.0,1.0,1.0,9758
lgbm_quant,covtype,256,256,8,0.0,0.8662269797861964,0.8605021406596244,0.8614235432820151,15616
lgbm_base,california_housing,512,512,4,0.0,0.12919836372556506,0.21987526931371856,0.21351521231202045,14014
lgbm_quant,california_housing,512,512,4,0.0,15.734705808160513,16.415124042412938,15.639712098854364,14014
lgbm_base,covtype,1024,1024,1,0.0,0.773051289896923,0.7705083797680773,0.772966274536802,3072
lgbm_base,covtype,128,128,2,0.0,0.770935725076973,0.7680557647210688,0.7711160641291533,896
lgbm_base,california_housing,1024,1024,8,0.0,0.03063580071296859,0.20510696276926205,0.2044531132499331,62286
lgbm_quant,covtype,128,128,2,0.0,0.7709907058576045,0.768184849723543,0.7710730359801382,896
lgbm_base,kin8nm,128,128,2,0.0,0.03098967755978054,0.031281787060053176,0.037198086689993796,892
lgbm_quant,kin8nm,128,128,2,0.0,0.030994767832475605,0.0312851995081532,0.03720033771652135,892
lgbm_base,breastcancer,64,64,8,0.0,1.0,1.0,0.956140350877193,2198
lgbm_quant,breastcancer,64,64,8,0.0,1.0,1.0,0.956140350877193,2198
lgbm_quant,california_housing,1024,1024,8,0.0,194.51442779684376,197.0659231212922,192.71810034522673,62286
lgbm_base,breastcancer,16,16,2,0.0,0.9731051344743277,0.9782608695652174,0.956140350877193,112
lgbm_quant,breastcancer,16,16,2,0.0,0.9731051344743277,0.9782608695652174,0.956140350877193,112
lgbm_base,breastcancer,32,32,4,0.0,0.9926650366748166,0.9782608695652174,0.9736842105263158,570
lgbm_quant,breastcancer,32,32,4,0.0,0.9926650366748166,0.9782608695652174,0.9736842105263158,570
lgbm_base,breastcancer,1,1,4,0.0,0.6161369193154034,0.6521739130434783,0.6578947368421053,13
lgbm_quant,breastcancer,1,1,4,0.0,0.6161369193154034,0.6521739130434783,0.6578947368421053,13
lgbm_base,covtype,256,256,4,0.0,0.8199690195253485,0.816139928142682,0.8189547602041255,7648
lgbm_base,kin8nm,8,8,1,0.0,0.0550839527820163,0.054877543082722885,0.05838628319710868,24
lgbm_quant,kin8nm,8,8,1,0.0,0.05507832571109149,0.05487276190882001,0.05838273228624025,24
lgbm_base,kin8nm,16,16,2,0.0,0.04540407655182683,0.04589841648072599,0.04900031312741201,112
lgbm_quant,kin8nm,16,16,2,0.0,0.0454120064713146,0.04590016220987832,0.049003742330570546,112
lgbm_base,mushroom,8,8,1,0.0,0.9088733116772097,0.9015384615384615,0.9046153846153846,24
lgbm_quant,mushroom,8,8,1,0.0,0.9088733116772097,0.9015384615384615,0.9046153846153846,24
lgbm_base,mushroom,16,16,2,0.0,0.9784578560437681,0.9738461538461538,0.9772307692307692,112
lgbm_quant,mushroom,16,16,2,0.0,0.9784578560437681,0.9738461538461538,0.9772307692307692,112
lgbm_base,mushroom,32,32,4,0.0,0.9988032142246538,0.9984615384615385,1.0,854
lgbm_quant,mushroom,32,32,4,0.0,0.9988032142246538,0.9984615384615385,1.0,854
lgbm_base,california_housing,8,8,1,0.0,0.9377105111676391,0.9070117893358967,0.9604900184607998,24
lgbm_quant,california_housing,8,8,1,0.0,0.9376631642792078,0.9068026344781913,0.9600406675659534,24
