no_trees,depth,no_features,no_thresholds,no_leaves,our_bits,lgb_bits,logloss,rmse,accuracy,tinygbdt_penalty_feature,tinygbdt_penalty_split,max_trees
21,7,9,287,167,43654,16944,0,0.203686,0.4003938303406525,0.000976562,0.015625,500
22,3,9,216,136,9573,13392,0,0.204112,0.3978850643649009,0.000976562,0.015625,1000
20,5,9,264,159,17148,16128,0,0.202429,0.4077711829877639,0.000976562,0.015625,1000
21,7,9,287,167,43654,16944,0,0.203686,0.4003938303406525,0.000976562,0.015625,1000
22,3,9,216,136,9573,13392,0,0.204112,0.3978850643649009,0.000976562,0.015625,5000
20,5,9,264,159,17148,16128,0,0.202429,0.4077711829877639,0.000976562,0.015625,5000
21,7,9,287,167,43654,16944,0,0.203686,0.4003938303406525,0.000976562,0.015625,5000
22,3,9,216,136,9573,13392,0,0.204112,0.3978850643649009,0.000976562,0.015625,10000
20,5,9,264,159,17148,16128,0,0.202429,0.4077711829877639,0.000976562,0.015625,10000
21,7,9,287,167,43654,16944,0,0.203686,0.4003938303406525,0.000976562,0.015625,10000
22,3,9,216,136,9573,13392,0,0.204112,0.3978850643649009,0.000976562,0.015625,100000
20,5,9,264,159,17148,16128,0,0.202429,0.4077711829877639,0.000976562,0.015625,100000
21,7,9,287,167,43654,16944,0,0.203686,0.4003938303406525,0.000976562,0.015625,100000
4,3,8,66,40,2540,4080,0,0.0,0.2208093863843073,0.000976562,0.03125,5
4,5,8,114,65,5512,6880,0,0.22929,0.2401753687393294,0.000976562,0.03125,5
4,7,9,133,74,11606,7888,0,0.229605,0.2380896864088515,0.000976562,0.03125,5
9,3,8,111,72,4468,7264,0,0.0,0.3098760923214908,0.000976562,0.03125,10
9,5,8,150,88,8339,9056,0,0.217331,0.317369101,0.000976562,0.03125,10
9,7,9,167,95,19785,9840,0,0.217638,0.3154376208137555,0.000976562,0.03125,10
14,3,9,133,89,5726,8768,0,0.0,0.3440500198793921,0.000976562,0.03125,15
14,5,8,173,103,10738,10336,0,0.21256,0.3470121441166626,0.000976562,0.03125,15
14,7,9,182,106,27344,10672,0,0.213904,0.338729009779619,0.000976562,0.03125,15
19,3,9,151,103,6752,9936,0,0.0,0.3672612886536246,0.000976562,0.03125,20
18,5,8,187,113,12496,11136,0,0.209797,0.3638792729446869,0.000976562,0.03125,20
18,7,9,198,116,33495,11472,0,0.211158,0.3555964011586495,0.000976562,0.03125,20
19,3,9,151,103,6752,9936,0,0.0,0.3672612886536246,0.000976562,0.03125,30
18,5,8,187,113,12496,11136,0,0.209797,0.3638792729446869,0.000976562,0.03125,30
18,7,9,198,116,33495,11472,0,0.211158,0.3555964011586495,0.000976562,0.03125,30
19,3,9,151,103,6752,9936,0,0.0,0.3672612886536246,0.000976562,0.03125,40
18,5,8,187,113,12496,11136,0,0.209797,0.3638792729446869,0.000976562,0.03125,40
18,7,9,198,116,33495,11472,0,0.211158,0.3555964011586495,0.000976562,0.03125,40
19,3,9,151,103,6752,9936,0,0.0,0.3672612886536246,0.000976562,0.03125,50
18,5,8,187,113,12496,11136,0,0.209797,0.3638792729446869,0.000976562,0.03125,50
18,7,9,198,116,33495,11472,0,0.211158,0.3555964011586495,0.000976562,0.03125,50
19,3,9,151,103,6752,9936,0,0.0,0.3672612886536246,0.000976562,0.03125,100
18,5,8,187,113,12496,11136,0,0.209797,0.3638792729446869,0.000976562,0.03125,100
18,7,9,198,116,33495,11472,0,0.211158,0.3555964011586495,0.000976562,0.03125,100
19,3,8,162,100,7133,9600,0,0.209964,0.3628657370236835,0.000976562,0.03125,200
18,5,8,187,113,12496,11136,0,0.209797,0.3638792729446869,0.000976562,0.03125,200
18,7,9,198,116,33495,11472,0,0.211158,0.3555964011586495,0.000976562,0.03125,200
19,3,9,151,103,6752,9936,0,0.0,0.3672612886536246,0.000976562,0.03125,500
18,5,8,187,113,12496,11136,0,0.209797,0.3638792729446869,0.000976562,0.03125,500
18,7,9,198,116,33495,11472,0,0.211158,0.3555964011586495,0.000976562,0.03125,500
19,3,8,162,100,7133,9600,0,0.209964,0.3628657370236835,0.000976562,0.03125,1000
18,5,8,187,113,12496,11136,0,0.209797,0.3638792729446869,0.000976562,0.03125,1000
18,7,9,198,116,33495,11472,0,0.211158,0.3555964011586495,0.000976562,0.03125,1000
19,3,8,162,100,7133,9600,0,0.209964,0.3628657370236835,0.000976562,0.03125,5000
18,5,8,187,113,12496,11136,0,0.209797,0.3638792729446869,0.000976562,0.03125,5000
18,7,9,198,116,33495,11472,0,0.211158,0.3555964011586495,0.000976562,0.03125,5000
19,3,8,162,100,7133,9600,0,0.209964,0.3628657370236835,0.000976562,0.03125,10000
18,5,8,187,113,12496,11136,0,0.209797,0.3638792729446869,0.000976562,0.03125,10000
18,7,9,198,116,33495,11472,0,0.211158,0.3555964011586495,0.000976562,0.03125,10000
19,3,8,162,100,7133,9600,0,0.209964,0.3628657370236835,0.000976562,0.03125,100000
18,5,8,187,113,12496,11136,0,0.209797,0.3638792729446869,0.000976562,0.03125,100000
18,7,9,198,116,33495,11472,0,0.211158,0.3555964011586495,0.000976562,0.03125,100000
4,3,7,59,36,2293,3632,0,0.0,0.2157628292415523,0.000976562,0.0625,5
4,5,8,88,50,4466,5200,0,0.23128,0.226932437885183,0.000976562,0.0625,5
4,7,9,94,53,9627,5536,0,0.232554,0.2183932485421418,0.000976562,0.0625,5
9,3,7,86,56,3531,5472,0,0.0,0.2893863594129521,0.000976562,0.0625,10
9,5,8,114,66,7094,6592,0,0.220533,0.2971038816607171,0.000976562,0.0625,10
9,7,9,117,68,18060,6816,0,0.222678,0.2833690177311108,0.000976562,0.0625,10
14,3,7,100,68,4469,6416,0,0.0,0.3142955934381375,0.000976562,0.0625,15
14,5,8,127,76,9147,7312,0,0.217106,0.3187849379595519,0.000976562,0.0625,15
14,7,9,131,79,25554,7648,0,0.218748,0.3084405179129724,0.000976562,0.0625,15
17,3,8,114,78,5178,7296,0,0.0,0.3339945285342243,0.000976562,0.0625,20
14,5,8,127,76,9147,7312,0,0.217106,0.3187849379595519,0.000976562,0.0625,20
15,7,9,134,81,27069,7792,0,0.218257,0.3115415760003348,0.000976562,0.0625,20
17,3,8,114,78,5178,7296,0,0.0,0.3339945285342243,0.000976562,0.0625,30
14,5,8,127,76,9147,7312,0,0.217106,0.3187849379595519,0.000976562,0.0625,30
15,7,9,134,81,27069,7792,0,0.218257,0.3115415760003348,0.000976562,0.0625,30
17,3,8,114,78,5178,7296,0,0.0,0.3339945285342243,0.000976562,0.0625,40
14,5,8,127,76,9147,7312,0,0.217106,0.3187849379595519,0.000976562,0.0625,40
15,7,9,134,81,27069,7792,0,0.218257,0.3115415760003348,0.000976562,0.0625,40
17,3,8,114,78,5178,7296,0,0.0,0.3339945285342243,0.000976562,0.0625,50
14,5,8,127,76,9147,7312,0,0.217106,0.3187849379595519,0.000976562,0.0625,50
15,7,9,134,81,27069,7792,0,0.218257,0.3115415760003348,0.000976562,0.0625,50
17,3,8,114,78,5178,7296,0,0.0,0.3339945285342243,0.000976562,0.0625,100
14,5,8,127,76,9147,7312,0,0.217106,0.3187849379595519,0.000976562,0.0625,100
15,7,9,134,81,27069,7792,0,0.218257,0.3115415760003348,0.000976562,0.0625,100
16,3,8,115,72,5292,6704,0,0.216483,0.3226880333175139,0.000976562,0.0625,200
14,5,8,127,76,9147,7312,0,0.217106,0.3187849379595519,0.000976562,0.0625,200
15,7,9,134,81,27069,7792,0,0.218257,0.3115415760003348,0.000976562,0.0625,200
17,3,8,114,78,5178,7296,0,0.0,0.3339945285342243,0.000976562,0.0625,500
14,5,8,127,76,9147,7312,0,0.217106,0.3187849379595519,0.000976562,0.0625,500
15,7,9,134,81,27069,7792,0,0.218257,0.3115415760003348,0.000976562,0.0625,500
16,3,8,115,72,5292,6704,0,0.216483,0.3226880333175139,0.000976562,0.0625,1000
14,5,8,127,76,9147,7312,0,0.217106,0.3187849379595519,0.000976562,0.0625,1000
15,7,9,134,81,27069,7792,0,0.218257,0.3115415760003348,0.000976562,0.0625,1000
16,3,8,115,72,5292,6704,0,0.216483,0.3226880333175139,0.000976562,0.0625,5000
14,5,8,127,76,9147,7312,0,0.217106,0.3187849379595519,0.000976562,0.0625,5000
15,7,9,134,81,27069,7792,0,0.218257,0.3115415760003348,0.000976562,0.0625,5000
16,3,8,115,72,5292,6704,0,0.216483,0.3226880333175139,0.000976562,0.0625,10000
14,5,8,127,76,9147,7312,0,0.217106,0.3187849379595519,0.000976562,0.0625,10000
15,7,9,134,81,27069,7792,0,0.218257,0.3115415760003348,0.000976562,0.0625,10000
16,3,8,115,72,5292,6704,0,0.216483,0.3226880333175139,0.000976562,0.0625,100000
14,5,8,127,76,9147,7312,0,0.217106,0.3187849379595519,0.000976562,0.0625,100000
15,7,9,134,81,27069,7792,0,0.218257,0.3115415760003348,0.000976562,0.0625,100000
4,3,5,46,29,1815,2848,0,0.0,0.2050641605203065,0.000976562,0.125,5
4,5,8,60,35,3488,3520,0,0.234432,0.2057132137335084,0.000976562,0.125,5
4,7,8,63,37,7908,3744,0,0.234318,0.2064898048286128,0.000976562,0.125,5
9,3,5,65,43,2864,4016,0,0.0,0.2705053663253034,0.000976562,0.125,10
9,5,8,80,48,5601,4576,0,0.224382,0.2723604309370943,0.000976562,0.125,10
9,7,8,81,49,14273,4688,0,0.224797,0.2696646228342115,0.000976562,0.125,10
13,3,5,73,51,3412,4592,0,0.0,0.2902935710662528,0.000976562,0.125,15
