model,dataset,max_trees,no_trees,depth,alpha,train_loss,test_accuracy,val_acc,nodes,memory_usage,max_memory,randomseed
lgbm_quant,covtype,128.0,128.0,8.0,0.0,1e+34,0.8454207095372303,0.8423878901577412,32640.0,499712.0,2048000,1
lgbm_quant,covtype,128.0,128.0,8.0,0.0,1e+34,0.8454207095372303,0.8423878901577412,32640.0,499712.0,4096000,1
lgbm_quant,covtype,128.0,128.0,8.0,0.0,1e+34,0.8454207095372303,0.8423878901577412,32640.0,499712.0,8192000,1
lgbm_quant,covtype,128.0,128.0,8.0,0.0,1e+34,0.8454207095372303,0.8423878901577412,32640.0,499712.0,16384000,1
ccp,covtype,2.0,2.0,2.0,0.0,1e+34,0.734300036574084,0.7306782096847758,6.0,1792.0,2000,1
ccp,covtype,1.0,1.0,4.0,0.0,1e+34,0.7480475893375788,0.7443955835907851,15.0,3968.0,4000,1
ccp,covtype,2.0,2.0,4.0,0.0,1e+34,0.751188657731116,0.7470461175701144,30.0,7936.0,8000,1
ccp,covtype,4.0,4.0,4.0,0.0,1e+34,0.7592564703857491,0.7556603530029345,60.0,15872.0,16000,1
ccp,covtype,8.0,8.0,4.0,0.0,1e+34,0.7638605021406596,0.7615293925285922,120.0,31744.0,32000,1
ccp,covtype,1.0,1.0,8.0,0.0,1e+34,0.7805985241281383,0.7745497104205571,255.0,53376.0,64000,1
ccp,covtype,2.0,2.0,8.0,0.0,1e+34,0.8039198812417977,0.799092966618762,510.0,108288.0,128000,1
ccp,covtype,4.0,4.0,8.0,0.0,1e+34,0.8073621479744412,0.8032150632944072,1020.0,226304.0,256000,1
ccp,covtype,8.0,8.0,8.0,0.0,1e+34,0.8163335556463932,0.8136795091348761,2040.0,465664.0,512000,1
ccp,covtype,16.0,16.0,8.0,0.0,1e+34,0.830167165078204,0.8286533049921259,4080.0,939008.0,1024000,1
ccp,covtype,512.0,512.0,4.0,0.0,1e+34,0.8544136313762613,0.8504513652831682,7680.0,2026240.0,2048000,1
ccp,covtype,1024.0,1024.0,4.0,0.0,1e+34,0.8812633118908801,0.8767415643313856,15360.0,4050688.0,4096000,1
ccp,covtype,128.0,128.0,8.0,0.0,1e+34,0.8937200146296336,0.8913797406263178,32640.0,7142144.0,8192000,1
ccp,covtype,256.0,256.0,8.0,0.0,1e+34,0.9245928443880296,0.9229537963735877,65280.0,14166016.0,16384000,1
cegb,covtype,2.0,2.0,2.0,0.0,1e+34,0.7339988382349777,0.7300672099687615,6.0,1792.0,2000,1
cegb,covtype,1.0,1.0,4.0,0.0,1e+34,0.747273079322734,0.7432596404567868,15.0,3968.0,4000,1
cegb,covtype,1.0,1.0,8.0,0.0078125,1e+34,0.7703577805985241,0.7655912497956163,255.0,7808.0,8000,1
cegb,covtype,2.0,2.0,8.0,0.0078125,1e+34,0.7803403541231901,0.776503188385842,510.0,15616.0,16000,1
cegb,covtype,4.0,4.0,8.0,0.0078125,1e+34,0.7864718917407113,0.7825615517671661,1020.0,31232.0,32000,1
cegb,covtype,8.0,8.0,8.0,0.0,1e+34,0.7889029926206407,0.7863136063612816,2040.0,62464.0,64000,1
cegb,covtype,16.0,16.0,8.0,0.0,1e+34,0.7935715668767883,0.7909004070462897,4080.0,124928.0,128000,1
cegb,covtype,32.0,32.0,8.0,0.0,1e+34,0.8099868763580818,0.8072683149316283,8160.0,249856.0,256000,1
cegb,covtype,64.0,64.0,8.0,0.0,1e+34,0.8262515866698221,0.8229649836923315,16320.0,499712.0,512000,1
cegb,covtype,128.0,128.0,8.0,0.0,1e+34,0.8467330737290506,0.8429128335757252,32640.0,999424.0,1024000,1
cegb,covtype,256.0,256.0,8.0,0.0,1e+34,0.8679675566360449,0.8655972737364784,65280.0,1998848.0,2048000,1
cegb,covtype,512.0,512.0,8.0,0.0,1e+34,0.89907704223231,0.8961558651669922,130560.0,3997696.0,4096000,1
cegb,covtype,1024.0,1024.0,8.0,0.0,1e+34,0.9267012327617736,0.9240553169883738,261120.0,7995392.0,8192000,1
cegb,covtype,1024.0,1024.0,8.0,0.0,1e+34,0.9267012327617736,0.9240553169883738,261120.0,7995392.0,16384000,1
rf,covtype,2.0,2.0,2.0,0.0,1e+34,0.7259955680815817,0.7227782415256061,6.0,1792.0,2000,1
rf,covtype,2.0,2.0,2.0,0.0,1e+34,0.7259955680815817,0.7227782415256061,6.0,1792.0,4000,1
rf,covtype,8.0,8.0,2.0,0.0,1e+34,0.7323207332028141,0.7296971678872318,24.0,7168.0,8000,1
rf,covtype,4.0,4.0,4.0,0.0,1e+34,0.7397431208450764,0.7372098827052658,60.0,15616.0,16000,1
rf,covtype,4.0,4.0,4.0,0.0,1e+34,0.7397431208450764,0.7372098827052658,60.0,15616.0,32000,1
rf,covtype,16.0,16.0,4.0,0.0,1e+34,0.7440674684279598,0.7413147681213049,240.0,62464.0,64000,1
rf,covtype,2.0,2.0,8.0,0.0,1e+34,0.7550827219724189,0.7521406504135005,510.0,71680.0,128000,1
rf,covtype,4.0,4.0,8.0,0.0,1e+34,0.7673888255416191,0.7642401659165426,1020.0,190976.0,256000,1
rf,covtype,8.0,8.0,8.0,0.0,1e+34,0.7739076181665627,0.7722003734843335,2040.0,376576.0,512000,1
rf,covtype,8.0,8.0,8.0,0.0,1e+34,0.7739076181665627,0.7722003734843335,2040.0,376576.0,1024000,1
rf,covtype,32.0,32.0,8.0,0.0,1e+34,0.775219982358383,0.7718647539220158,8160.0,1475072.0,2048000,1
rf,covtype,32.0,32.0,8.0,0.0,1e+34,0.775219982358383,0.7718647539220158,8160.0,1475072.0,4096000,1
rf,covtype,32.0,32.0,8.0,0.0,1e+34,0.775219982358383,0.7718647539220158,8160.0,1475072.0,8192000,1
rf,covtype,32.0,32.0,8.0,0.0,1e+34,0.775219982358383,0.7718647539220158,8160.0,1475072.0,16384000,1
rf_guo,covtype,128.0,2.0,2.0,0.015625,1e+34,0.7441750392633549,0.7424334999956972,6.0,1728.0,2000,1
rf_guo,covtype,16.0,1.0,4.0,0.0625,1e+34,0.750285062713797,0.7478034129927799,15.0,3888.0,4000,1
rf_guo,covtype,16.0,1.0,4.0,0.015625,1e+34,0.753254017770702,0.7503334681548669,15.0,4176.0,8000,1
rf_guo,covtype,16.0,1.0,4.0,0.015625,1e+34,0.753254017770702,0.7503334681548669,15.0,4176.0,16000,1
rf_guo,covtype,32.0,1.0,8.0,0.015625,1e+34,0.7843850175340462,0.7802208204607454,255.0,24912.0,32000,1
rf_guo,covtype,8.0,1.0,8.0,0.0625,1e+34,0.7858049525612616,0.7839212412760428,255.0,45072.0,64000,1
rf_guo,covtype,8.0,1.0,8.0,0.0625,1e+34,0.7858049525612616,0.7839212412760428,255.0,45072.0,128000,1
rf_guo,covtype,8.0,1.0,8.0,0.0625,1e+34,0.7858049525612616,0.7839212412760428,255.0,45072.0,256000,1
rf_guo,covtype,8.0,1.0,8.0,0.0625,1e+34,0.7858049525612616,0.7839212412760428,255.0,45072.0,512000,1
rf_guo,covtype,8.0,1.0,8.0,0.0625,1e+34,0.7858049525612616,0.7839212412760428,255.0,45072.0,1024000,1
rf_guo,covtype,8.0,1.0,8.0,0.0625,1e+34,0.7858049525612616,0.7839212412760428,255.0,45072.0,2048000,1
rf_guo,covtype,8.0,1.0,8.0,0.0625,1e+34,0.7858049525612616,0.7839212412760428,255.0,45072.0,4096000,1
rf_guo,covtype,8.0,1.0,8.0,0.0625,1e+34,0.7858049525612616,0.7839212412760428,255.0,45072.0,8192000,1
rf_guo,covtype,8.0,1.0,8.0,0.0625,1e+34,0.7858049525612616,0.7839212412760428,255.0,45072.0,16384000,1
lgbm_base,breastcancer,4.0,4.0,1.0,0.0,1e+34,0.0,0.8333333333333334,4.0,1536.0,2000,1
